pixel_width;pixel_height;distance_m
42.521;32.026;1.396
52.621;41.040;1.131
44.888;30.448;1.498
39.334;30.194;1.565
56.201;43.564;1.100
94.977;66.739;0.654
41.984;30.248;1.662
127.179;103.744;0.457
41.385;25.949;1.665
40.409;39.719;1.474
46.493;31.781;1.441
224.000;178.177;0.256
33.696;31.708;1.674
44.726;30.356;1.645
127.859;97.087;0.451
43.962;27.838;1.603
101.163;71.774;0.635
43.670;31.896;1.360
51.525;33.977;1.280
70.264;53.099;0.945
99.606;79.563;0.578
86.952;73.611;0.667
193.129;141.486;0.309
40.687;32.123;1.632
52.372;49.340;1.089
224.000;216.011;0.203
41.803;42.066;1.371
36.461;27.024;1.871
44.161;37.262;1.302
137.470;108.913;0.438
55.093;40.866;1.149
38.887;31.849;1.831
224.000;214.830;0.215
82.764;56.945;0.786
163.059;122.655;0.368
37.500;28.245;1.593
108.593;82.010;0.573
39.074;29.327;1.976
42.210;35.330;1.481
37.383;21.496;1.981
83.732;53.738;0.809
102.727;75.332;0.580
108.453;80.809;0.573
178.342;125.958;0.351
158.956;120.819;0.373
48.051;27.549;1.547
224.000;181.228;0.257
106.538;80.887;0.613
90.864;70.512;0.689
45.695;35.949;1.318
112.443;87.516;0.513
43.693;31.798;1.879
147.486;104.503;0.426
87.791;67.086;0.716
39.983;35.974;1.477
76.324;53.642;0.892
83.770;58.636;0.814
61.914;46.386;1.168
140.753;105.431;0.414
125.673;93.751;0.511
70.639;51.873;0.915
154.113;118.566;0.407
33.625;27.440;1.801
57.331;48.019;1.167
44.055;28.609;1.677
79.020;63.774;0.798
103.533;76.843;0.630
113.355;85.551;0.525
42.135;25.907;1.697
71.626;56.106;0.945
48.656;37.862;1.597
67.824;53.381;1.029
132.158;96.311;0.464
49.478;40.474;1.334
162.085;118.334;0.382
60.480;40.391;1.129
60.728;44.433;1.144
119.223;80.904;0.541
208.156;159.157;0.281
120.926;91.649;0.492
38.067;28.055;1.785
67.348;50.693;1.006
32.998;31.292;1.999
79.255;69.191;0.747
53.635;38.584;1.259
30.306;27.568;1.920
35.907;34.713;1.783
43.978;23.859;1.784
87.344;60.081;0.723
36.953;31.543;1.801
55.027;34.600;1.373
40.189;22.628;1.892
80.678;54.493;0.800
46.944;34.208;1.427
74.032;60.862;0.806
50.393;35.420;1.351
42.101;32.271;1.391
36.922;36.427;1.713
69.793;59.650;0.819
72.011;54.935;0.819
43.420;42.882;1.352
122.350;87.997;0.508
51.155;41.964;1.348
77.634;57.174;0.828
62.156;54.323;0.960
55.307;44.072;1.189
70.619;58.076;0.929
42.213;33.123;1.448
60.229;45.141;1.164
83.825;66.110;0.757
70.755;48.944;1.002
32.833;29.187;1.744
62.687;52.329;0.945
62.106;58.291;0.919
60.213;47.967;1.020
43.969;29.864;1.481
121.078;88.704;0.523
43.830;29.039;1.831
115.957;88.261;0.559
51.473;42.126;1.333
56.310;39.788;1.099
164.910;122.760;0.378
38.260;24.587;1.853
67.816;54.267;0.866
152.021;122.865;0.379
224.000;210.433;0.220
44.975;29.895;1.685
46.516;43.186;1.269
88.894;62.016;0.705
224.000;224.000;0.182
60.655;43.703;1.145
50.538;36.652;1.490
36.163;28.303;1.799
43.410;34.385;1.743
40.986;30.188;1.894
179.561;138.720;0.342
35.273;33.076;1.723
40.205;31.464;1.939
70.410;45.891;0.988
96.671;68.704;0.673
59.124;45.874;1.227
211.574;155.440;0.289
38.036;25.722;1.727
30.503;32.097;1.956
64.691;38.917;1.113
57.001;39.838;1.188
141.232;113.744;0.416
149.695;117.266;0.390
73.123;61.005;0.876
42.272;40.829;1.472
62.575;47.035;1.056
224.000;178.841;0.260
42.412;34.142;1.867
79.309;62.282;0.754
45.492;25.664;1.692
39.713;35.120;1.688
47.577;29.402;1.606
33.596;31.202;1.778
50.153;42.107;1.297
66.146;46.135;1.006
69.350;52.241;0.848
158.926;121.230;0.379
76.305;60.889;0.820
133.830;103.924;0.460
80.887;63.991;0.823
75.854;57.648;0.796
69.435;47.875;0.925
143.984;103.784;0.439
45.238;33.402;1.535
36.602;32.841;1.837
157.129;116.385;0.383
53.099;31.158;1.421
90.075;64.967;0.716
55.414;48.556;1.166
134.370;98.160;0.458
61.874;45.044;1.045
44.772;32.898;1.384
54.259;41.937;1.062
119.527;90.615;0.494
42.682;38.951;1.504
224.000;179.680;0.244
32.783;26.028;1.748
55.977;45.489;1.219
32.807;30.944;1.747
42.958;24.052;1.823
155.384;110.689;0.407
145.993;108.594;0.405
130.045;97.628;0.455
50.396;36.475;1.361
184.047;142.655;0.326
39.333;27.848;1.791
60.462;40.675;1.067
33.550;29.157;1.904
165.357;125.840;0.377
67.180;45.002;1.018
52.014;35.162;1.293
217.647;167.182;0.266
38.821;23.945;1.849
46.355;27.842;1.658
34.412;28.593;1.788
44.530;30.277;1.500
144.460;104.699;0.440
108.931;82.314;0.557
224.000;180.371;0.254
38.615;33.274;1.472
106.993;78.977;0.590
30.701;23.198;1.860
90.254;73.412;0.639
66.809;51.725;1.069
97.075;73.700;0.654
33.713;25.609;1.715
122.165;93.328;0.492
43.795;39.498;1.437
41.976;29.301;1.554
33.937;35.879;1.664
52.013;44.079;1.157
45.646;30.477;1.509
50.262;29.788;1.534
73.627;56.080;0.853
47.991;29.314;1.456
